id,name,da_ban,sku,price,list_price,discount,discount_rate,review_count,category
276912267,"Giữa Muôn Vàn Ngã Rẽ Của Cuộc Đời, Tôi Vẫn Chọn Làm Một Người Kiêu Hãnh",129.0,7330184073870,77000,109000,32000,29,3,nha-sach-tiki
276546963,Agatha Christie. Tuyển tập kỳ án của Poirot,336.0,8410456840089,64000,105000,41000,39,28,nha-sach-tiki
276436427,Combo Tâm Lý Học Về Tiền + Same As Ever,28.0,7046602406565,284000,408000,124000,30,0,nha-sach-tiki
276313958,Vẻ Đẹp Của Cảnh Sắc Tầm Thường,917.0,2889121848173,168000,235000,67000,29,44,nha-sach-tiki
275928713,Đọc Vị Mọi Vấn Đề Của Trẻ - Giải Mã Mọi Vấn Đề Về Nuôi Con Nhỏ: Ăn - Ngủ - Kỷ Luật Hành Vi,5513.0,6416837828890,175000,239000,64000,27,582,nha-sach-tiki
275212810,MBA CƠ BẢN - Khóa Học Quản Trị Kinh Doanh Cấp Tốc Cho Người Bận Rộn - Tom Gorman (bìa mềm),2.0,6794492895691,215000,269000,54000,20,0,nha-sach-tiki
274845339,Đắc Nhân Tâm,233.0,4497708615058,61900,86000,24100,28,2,nha-sach-tiki
273717706,Hiểu Về Bản Chất Con Người - Lý Luận Của Bậc Thầy Tâm Thần Học,1076.0,8689851415957,71300,105000,33700,32,61,nha-sach-tiki
273534078,Quản Trị Bằng Văn Hóa,1443.0,5158307201530,179000,250000,71000,28,56,nha-sach-tiki
260811707,Muôn Kiếp Nhân Sinh 3 (Bìa Mềm),7260.0,5843579380988,109000,218000,109000,50,620,nha-sach-tiki
252035395,Tô Màu Động Vật - Song Ngữ Anh-Việt (Tập 2) - Tái Bản,5.0,9978278766713,10200,14000,3800,27,0,nha-sach-tiki
241746531,Bệnh Từ Miệng Mà Ra,156.0,7401803987501,92100,115000,22900,20,4,nha-sach-tiki
209891492,Những Người Hàng Xóm,4896.0,1904872163261,76000,110000,34000,31,508,nha-sach-tiki
206675362,Nâng Cao Tần Số Rung Động Mỗi Ngày: Khám Phá Cách Năng Lượng Vận Hành,16.0,7728703000892,102000,135000,33000,24,0,nha-sach-tiki
194960744,Đừng bao giờ đi ăn một mình,1082.0,3948812019786,90000,145000,55000,38,56,nha-sach-tiki
192475873,Để Con Được Ốm,3531.0,3567820525526,85500,120000,34500,29,104,nha-sach-tiki
189326210,Nghệ thuật tư duy dựa trên dữ liệu - Để ra quyết điịnh thông minh hơn trong một thê giới không chắc chắn,1213.0,2441295523720,91000,150000,59000,39,107,nha-sach-tiki
184070223,OSHO - Cảm Xúc,3373.0,9594312279888,152000,188000,36000,19,320,nha-sach-tiki
160370181,Khói Trời Lộng Lẫy (Tập Truyện Ngắn Nguyễn Ngọc Tư)(Tái Bản),942.0,5080592096041,57000,90000,33000,37,101,nha-sach-tiki
109017985,"Thiên Tài Bên Trái, Kẻ Điên Bên Phải (Tái Bản)",26729.0,8741635599269,123000,179000,56000,31,5478,nha-sach-tiki
102887973,Hôn Em Trước Đã (Tiểu Thuyết Trinh Thám),292.0,6725195644725,89900,89900,0,0,62,nha-sach-tiki
87392046,Con Đường Vạn Dặm Của Hồ Chí Minh (Tái Bản),400.0,8173291026363,87000,145000,58000,40,64,nha-sach-tiki
82936273,Óc Sáng Suốt (Tái Bản 2021),205.0,2531674919859,54000,60000,6000,10,30,nha-sach-tiki
79672197,Bí Mật Của May Mắn (Khổ Nhỏ)(Tái Bản),779.0,1217713291104,38700,45000,6300,14,70,nha-sach-tiki
73222804,Sách Putin Logic Của Quyền Lực (Tái Bản 2020),81.0,9576252906724,134400,168000,33600,20,11,nha-sach-tiki
71345381,Sách Thay Đổi Cuộc Sống Với Nhân Số Học - Lê Đỗ Quỳnh Hương,14973.0,2019473448712,248000,248000,0,0,2979,nha-sach-tiki
35191892,21 Bài Học Cho Thế Kỷ 21,20816.0,1070895004062,155000,209000,54000,26,1827,nha-sach-tiki
32219488,Doanh Nghiệp Của Thế Kỷ 21 (Tái Bản 2019),5656.0,5243473639406,65000,100000,35000,35,485,nha-sach-tiki
19274771,Chuỗi Án Mạng A.B.C (Tái Bản),207.0,6739491019720,97600,105000,7400,7,53,nha-sach-tiki
2619499,​Liễu Phàm Tứ Huấn (Tái Bản 2018),5028.0,3753095632928,43300,59000,15700,27,274,nha-sach-tiki
764032,Bé Tô Màu (2-6+) - Những Con Côn Trùng Bé Nhỏ - Tập 1,45.0,2521875309916,9000,12500,3500,28,1,nha-sach-tiki
480059,Lược Sử Nước Việt Bằng Tranh,1032.0,2521341863973,113000,140000,27000,19,9,nha-sach-tiki
277876898,Dấu Ấn Hoàng Gia – Tập 22,15.0,8547082025799,30000,30000,0,0,0,nha-sach-tiki
277521298,Dấu Ấn Hoàng Gia Tập 19,67.0,9804365940650,27100,30000,2900,10,4,nha-sach-tiki
277441515,Chữa Lành Bằng Reiki,13.0,9595797945207,109300,149000,39700,27,0,nha-sach-tiki
277408902,"Nóng Giận Là Bản Năng, Tĩnh Lặng Là Bản Lĩnh",58.0,7067148443414,65500,109000,43500,40,2,nha-sach-tiki
277393740,Sách Bán Chạy Như Điên,77.0,8663431969000,239000,239000,0,0,3,nha-sach-tiki
277356707,Triệu Lá Thư Gửi Mẹ (Bìa Cứng dạng hộp in bốn màu),64.0,7059064614869,159200,199000,39800,20,2,nha-sach-tiki
276933742,Combo Giáo Trình Chuẩn HSK - Sách Bài Học và Bài tập (Bộ 2 cuốn),40.0,4640925195248,276000,356000,80000,22,2,nha-sach-tiki
276886061,Hạnh Phúc Cầm Tay,3341.0,5834371800304,55000,75000,20000,27,295,nha-sach-tiki
276302840,Cơ Thể Người,73.0,7957702391386,209300,299000,89700,30,2,nha-sach-tiki
276019606,Không Gia Đình (Tái Bản),902.0,8891367440184,117000,160000,43000,27,142,nha-sach-tiki
